,AÑO,CONSECUTIO,INSCRIPCION,LOCALIDAD,TIPO,COD TIPO,NOMBRE,General,Nutrición y Salubridad,Ambientes Adecuados y Seguros,Proceso Pedagógico,Talento Humano,Proceso Administrativo,Segmento
11788,2019,53,19942,ENGATIVA,PRIVADO,PRI, GIMNASIO PEDAGÓGICO CARRUSEL DE ILUSIONES,"0,07813513514",0,"0,2104504505","0,07894736842",0,0,Medio
11789,2019,54,20059,USAQUEN,PRIVADO,PRI, CORPORACIÓN COLOMBIANS CHILDREN,"0,6499689076","0,7257142857","0,706372549","0,498245614","0,6222222222","0,6457142857",Bajo
11790,2019,55,1461,USAQUEN,PRIVADO,PRI, JARDÍN INFANTIL AÑOS MÁGICOS,"0,5517198228","0,6945454545","0,5168438538","0,4298245614","0,5666666667","0,5514285714",Bajo
11791,2019,56,18775,CIUDAD BOLIVAR,PRIVADO,PRI, TRAVESURAS DE CAMILA,"0,2924444444","0,3656565657","0,4252380952","0,1315789474","0,1428571429","0,2714285714",Medio
11792,2019,57,19492,CIUDAD BOLIVAR,PRIVADO,PRI, LICEO PEDAGOGICO GENIOS DEL FUTURO 2,"0,233989648","0,2744588745","0,2853623188","0,2631578947",0,"0,2714285714",Medio
11793,2019,58,264,USAQUEN,PRIVADO,PRI, ASPAEN MATERNAL Y PREESCOLAR ATAVANZA,"0,7443877684","0,6719480519","0,6680438842","0,8456140351","0,8338624339","0,7885714286",Bajo
11794,2019,59,2123,RAFAEL URIBE URIBE,PRIVADO,PRI, JARDIN PSICOPEDAGÓGICO MIS ANGELITOS LINDOS,"0,7760952381","0,8933333333","0,6358730159","0,9649122807","0,7444444444","0,67",Bajo
11795,2019,60,19279,KENNEDY,PRIVADO,PRI, JARDÍN INFANTIL PSICOPEDAGÓGICO SHALOM SEDE B,"0,6880212121","0,8981818182","0,6865151515","0,5894736842","0,4777777778","0,72",Bajo
11796,2019,61,19897,SUBA,PRIVADO,PRI, SAINT MARY NURSERY Y PRESCHOOL S.A.S. SEDE SALITRE,"0,3615095238","0,3883982684","0,4527777778","0,1842105263","0,3095238095","0,42",Medio
11797,2019,62,932,USAQUEN,PRIVADO,PRI, JARDÍN INFANTIL MENTES CONSTRUCTIVAS,"0,4774353267","0,5612121212","0,5063399779","0,3245614035","0,4","0,5742857143",Bajo
11798,2019,63,14455,FONTIBON,PUBLICO,CC, J I FONTIBON CENTRO,"0,8885325535","0,8459136823","0,9478723404","0,9368421053","0,7417989418","0,92",Alto
11799,2019,64,14514,SUBA,PUBLICO,CC, JARDIN INFANTIL DULCE MARIA,"0,870825641","0,8387878788","0,8561965812","0,8333333333","0,9166666667","0,9542857143",Alto
11800,2019,65,16056,USAQUEN,PRIVADO,PRI,SAINT SIMON ECOLÓGICO,"0,4307846448","0,4691853601","0,4334033613","0,5087719298","0,2698412698","0,4314285714",Bajo
11801,2019,66,18413,SUBA,PRIVADO,PRI, LICEO INFANTIL GENIUS SCHOOL,"0,7646230769","0,7624242424","0,7147435897","0,8596491228","0,7222222222","0,7914285714",Alto
11802,2019,67,20110,FONTIBON,PRIVADO,PRI,JARDIN PSICOPEDAGOGICO MONTESSORI EL MUNDO DE LULU ,"0,3911","0,6218181818","0,5027777778","0,1929824561","0,3066666667","0,1485714286",Bajo
