,AÑO,CONSECUTIO,INSCRIPCION,LOCALIDAD,TIPO,COD TIPO,NOMBRE,General,Nutrición y Salubridad,Ambientes Adecuados y Seguros,Proceso Pedagógico,Talento Humano,Proceso Administrativo,Segmento
12556,2019,823,16185,ENGATIVA,PRIVADO,PRI,GIMNASIO INFANTIL BADEN POWEL,0.325638095,0.358787879,0.508730159,0.131578947,0.228571429,0.248571429,Medio
12557,2019,824,17791,FONTIBON,PRIVADO,PRI,GIMNASIO PSICOPEDAGOGICO JEAN PIAGET,0.849671429,0.941818182,0.883333333,0.90877193,0.729365079,0.681428571,Alto
12558,2019,825,18002,KENNEDY,PRIVADO,PRI,LICEO INFANTIL LITTLE EINSTEINS,0.586719048,0.837575758,0.375,0.761403509,0.528571429,0.471428571,Bajo
12559,2019,826,19525,ENGATIVA,PRIVADO,PRI,JARDIN INFANTIL BILINGUE HABIA UNA VEZ,0.634988372,0.457727273,0.728294574,0.70877193,0.455555556,0.805714286,Bajo
12560,2019,827,19610,USAQUEN,PRIVADO,PRI,CHILDREN OF THE WORLD,0.51537619,0.455930736,0.527380952,0.568421053,0.552380952,0.471428571,Bajo
12561,2019,828,20022,ENGATIVA,PRIVADO,PRI,SALA CUNA MIS PRIMERAS HUELLITAS,0.14327619,0.055909091,0.409920635,0,0,0.057142857,Medio
12562,2019,829,636,KENNEDY,PUBLICO,JSDIS,JARDÍN INFANTIL CIUDAD DE BOGOTÁ,0.951964286,0.979220779,0.855119048,1,1,1,Alto
12563,2019,830,1506,SUBA,PRIVADO,PRI,LICEO PEDAGÓGICO SHEKINA,0.341085714,0.36969697,0.484285714,0.157894737,0.144444444,0.448571429,Medio
12564,2019,831,1822,CIUDAD BOLIVAR,PRIVADO,PRI,CENTRO EDUCATIVO SEMILLAS DE LA CIENCIA,0.85690964,0.842424242,0.917682927,0.901754386,0.818253968,0.73,Alto
12565,2019,832,2015,USAQUEN,PRIVADO,PRI,JARDÍN INFANTIL SENTIMIENTOS Y TERNURA,0.684490476,0.575757576,0.566666667,0.824561404,0.802380952,0.791428571,Bajo
12566,2019,833,3869,CIUDAD BOLIVAR,PRIVADO,PRI,EL REY LEON,0.754847967,0.808484848,0.739159892,0.652631579,0.738888889,0.86,Bajo
12567,2019,834,15541,ENGATIVA,PRIVADO,PRI,CENTRO INICIAL DE APRENDIZAJE MANITAS CREATIVAS,0.516989474,0.51030303,0.697076023,0.19122807,0.611111111,0.482857143,Bajo
12568,2019,835,15792,KENNEDY,PRIVADO,PRI,JARDÍN INFANTIL Y SALA MATERIAL BEBELANDIA,0.684466667,0.730909091,0.693333333,0.673684211,0.811111111,0.471428571,Bajo
12569,2019,836,16581,CIUDAD BOLIVAR,PRIVADO,PRI,CENTRO DE DESARROLLO INTEGRAL CHIQUI MUSEO,0.398413561,0.458008658,0.388799172,0.421052632,0.473412698,0.214285714,Bajo
12570,2019,837,19693,SUBA,PRIVADO,PRI,CENTRO DE ESTIMULACIÓN SENSORIAL MARÍA MONTESSORI,0.234218271,0.156017316,0.244177305,0.231578947,0.132275132,0.448571429,Medio
12571,2019,838,19937,ENGATIVA,PRIVADO,PRI,JARDIN INFANTIL PASOS Y PASITOS,0.456144186,0.68,0.555813953,0.131578947,0.4,0.391428571,Bajo
12572,2019,839,20003,ENGATIVA,PRIVADO,PRI,MIS PROMESAS,0.554668082,0.533506494,0.51463964,0.754385965,0.49047619,0.471428571,Bajo
12573,2019,840,Q571,KENNEDY,PRIVADO,,JARDÍN INFANTIL Y SALA MATERNAL BEBELANDIA SEDE B,0.700314286,0.841038961,0.648730159,0.673684211,0.644444444,0.685714286,Bajo
12574,2019,841,670,BOSA,PUBLICO,JSDIS,JARDIN INFANTIL LOS BULLICIOSOS,0.913180159,0.923116883,0.869444444,0.985964912,0.876851852,0.931428571,Alto
12575,2019,842,673,BOSA,PUBLICO,JSDIS,JARDIN INFANTIL LA ESCUELITA,0.869561404,0.84969697,0.784649123,0.943859649,0.916666667,0.931428571,Alto
12576,2019,843,1852,SUBA,PRIVADO,PRI,CENTRO INFANTIL ESPIRITU SANTO SEDE A,0.90640453,0.949090909,0.77296748,1,0.904761905,1,Alto
